"id","user_location","user_city","user_country"
1345772211970449408,"CARDIFF",NA,NA
1345751233622016000,"ONLINE",NA,NA
1345699753674174464,"NOWHERE",NA,NA
1345671799971962880,"TURKEY-ISRAEL",NA,NA
1345671508161605632,"INDIA",NA,NA
1345615625989672960,"NOIDA, INDIA",NA,NA
1345562338645053440,"SRI LANKA",NA,NA
1345505788438196224,"🌍",NA,NA
1345499298151198720,"EVERYWHERE",NA,NA
1346124109672017920,"SICILY/ UK",NA,NA
1346106276124610560,"ONLINE",NA,NA
1346103448455032832,".FI .FR .SE .UK .DE",NA,NA
1346101626092871680,".FI .FR .SE .UK .DE",NA,NA
1346587425167056896,"FRANCE",NA,NA
1346571604088729600,"USA",NA,NA
1346543680996470784,"MINNESOTA, USA",NA,NA
1346543561752326144,"DAMMAM",NA,NA
1346532238725406720,"EUROPE,NL",NA,NA
1346524357594652672,"LONG ISLAND",NA,NA
1346515812006424576,"FIRENZE, TOSCANA",NA,NA
1346513596411482112,"90S KID , GOONIES",NA,NA
1346511963363319808,"BLESSED.",NA,NA
1346507042895310848,"SWITZERLAND",NA,NA
1346493513148600320,"TN27",NA,NA
1346473598823776256,"VENEZUELA",NA,NA
1346460328612098048,"MALAYSIA",NA,NA
1346447905641484288,"MALAYSIA",NA,NA
1346444424180609024,"UNITED STATES",NA,NA
1346438306087784448,"MINNESOTA, USA",NA,NA
1346402620156493824,"NOIDA, INDIA",NA,NA
1346400149262667776,"MALAYSIA",NA,NA
1346395114940235776,"MALAYSIA",NA,NA
1346377969787314176,"MALAYSIA",NA,NA
1346377200359104512,"UK",NA,NA
1346374862122545152,"INDIA",NA,NA
1346263521307275264,"NH",NA,NA
1346227256620949504,"ΚΟΖΆΝΗ, ΕΛΛΆΣ",NA,NA
1346225461345529856,"UK",NA,NA
1349026577217163264,"NORTHERN IRELAND",NA,NA
1346927778424381440,"AL HILAL - C RING ROAD",NA,NA
1346906616096989184,"INDIA",NA,NA
1346892019965292544,"UK",NA,NA
1346869571265949696,"WIRRAL, UK",NA,NA
1346825196028751872,"VT",NA,NA
1346811673320038400,"WORLD",NA,NA
1346805992588193792,"IRELAND",NA,NA
1346793329103613952,"MONTENEGRO",NA,NA
1346772233801375744,"UK",NA,NA
1346715668507291648,"INDIA",NA,NA
1346665180336332800,"新潟市",NA,NA
1347040180234973184,"MALAYSIA",NA,NA
1347001020862390272,"MINNESOTA, USA",NA,NA
1347577463061278720,"🇬🇧🇪🇺",NA,NA
1347577371277324288,"GRAN CANARIO Y GRAN PERSONA",NA,NA
1347576097056174080,"LDN  लंडन  لندن",NA,NA
1347545003636228096,"ST LOUIS, MO",NA,NA
1347531401273466880,"N 53°22' 0'' / W 6°20' 0''",NA,NA
1347529693034123264,"UK",NA,NA
1347526797999677440,"FRANCE",NA,NA
1347519632245092352,"INDIA",NA,NA
1347516496336089088,"NOWHERE",NA,NA
1347502204932943872,"INDIA",NA,NA
1347491967471661056,"BELGIUM",NA,NA
1347476493551562752,"MONTENEGRO",NA,NA
1347461304466853888,"MALAYSIA",NA,NA
1347431667753914368,"INDIA",NA,NA
1347424093251854336,"USA",NA,NA
1347394930797211648,"INDIA",NA,NA
1347285167430377472,"BELGIUM",NA,NA
1347266921163608064,"SWITZERLAND",NA,NA
1347249498905460736,"INDIA",NA,NA
1347239573705920512,"IRELAND",NA,NA
1.347231725689e+18,"SOUTH CAL",NA,NA
1347220729889251328,"IRELAND",NA,NA
1350067738211983360,"THE ETHER",NA,NA
1347997027871805440,"AUSTRALIA",NA,NA
1347994557590298624,"AUSTRALIA",NA,NA
1347991772379578368,"AUSTRALIA",NA,NA
1347986627629441024,"AUSTRALIA",NA,NA
1347985374270824448,"AUSTRALIA",NA,NA
1347978483713110016,"AUSTRIA",NA,NA
1347942630446034944,"UNITED STATES",NA,NA
1347927310012346368,"INDIA",NA,NA
1347902039116931072,"MINNESOTA, USA",NA,NA
1347900581268967424,"SCOTLAND, UK",NA,NA
1347898761935253504,"DENMARK",NA,NA
1347898542552199168,"DENMARK",NA,NA
1347898276843040768,"DENMARK",NA,NA
1347883820025073664,"I O W HEALTH CARE BRANCH",NA,NA
1347721599697510400,"FRANCE",NA,NA
1347702906217181184,"IRELAND",NA,NA
1347667979857764352,"IRELAND",NA,NA
1347652750155390976,"USA",NA,NA
1350708239172837376,"سیارہ زمین",NA,NA
1350490636185694208,"USA",NA,NA
1348259610977828864,"CLOUD CUCKOO LAND",NA,NA
1348259304957161472,"DENMARK",NA,NA
1348259144046931968,"NORTHERN IRELAND",NA,NA
1348258686377086976,"DENMARK",NA,NA
1348257779652419584,"DENMARK",NA,NA
1348250170195144704,"DENMARK",NA,NA
1348248985790599168,"AUSTRALIA",NA,NA
1348244138110513152,"BENGALURU SOUTH, INDIA",NA,NA
1348207460390154240,"I O W HEALTH CARE BRANCH",NA,NA
1348168039884353536,"UNITED STATES",NA,NA
1348153152134991872,"SOUTHERN CA, USA",NA,NA
1348058550476697600,"MEATH",NA,NA
1348048643396411392,"YYZ",NA,NA
1348017795808845824,"NHS REGISTERED NURSE",NA,NA
1348015021993975808,"SOUTH TIPPERARY, IRELAND",NA,NA
1348006902983254016,"TENNESSEE, USA",NA,NA
1348005855921364992,"GEORGIA",NA,NA
1348463022600302592,"DENMARK",NA,NA
1348374114990489600,"UNITED STATES",NA,NA
1.34832009337e+18,"ÜT: 34.079552,-118.440613",NA,NA
1348310478032957440,"SOUTH TIPPERARY, IRELAND",NA,NA
1348932225832804352,"UK",NA,NA
1348922626635399168,"BELGIUM",NA,NA
1348779822508630016,"NC",NA,NA
1348723711172554752,"EUROPE",NA,NA
1348715645983199232,"DENMARK",NA,NA
1348715477934211072,"DENMARK",NA,NA
1348715219116285952,"DENMARK",NA,NA
1348709267914842112,"DENMARK",NA,NA
1348699646592483328,"SCOTLAND",NA,NA
1348698298773762048,"ÜT: 34.080227,-118.453027",NA,NA
1.348652350744e+18,"NJ",NA,NA
1348626426812129280,"BERKSHIRE",NA,NA
1348621420310380544,"INDIA",NA,NA
1348617335150665728,"FRANCE",NA,NA
1348597817196113920,"SWITZERLAND",NA,NA
1350767903482646528,"INDIA",NA,NA
1350093406941405184,"TURKEY-ISRAEL",NA,NA
1349144159102275584,"SOUTHERN HEMISPHERE",NA,NA
1349129228076392448,"ANGLESEY",NA,NA
1349096800939081728,"INDIA | USA",NA,NA
1349094688939245568,"📍NJ/PA, USA",NA,NA
1349084941922021376,"CYPRUS",NA,NA
1349081196404363264,"UK",NA,NA
1349073550385311744,"UK",NA,NA
1349058731183640576,"USA",NA,NA
1349056843717500928,"IRELAND",NA,NA
1349047626298236928,"SCOTLAND",NA,NA
1348994826923077632,"ISRAEL",NA,NA
1352107925658066944,"UK",NA,NA
1352088238354296832,"UK",NA,NA
1352085240324386816,"INDIA",NA,NA
1352072143811485696,"JIZZHUT.",NA,NA
1352030006189436928,"🇰🇼|🇺🇸",NA,NA
1352009967272939520,"LANGUEDOC ROUSILLON. FRANCE",NA,NA
1352004146430308352,"MALDIVES",NA,NA
1.352002225737e+18,"EDALE, UK",NA,NA
1351990192463294464,"LÀ",NA,NA
1351989831774121984,"LÀ",NA,NA
1351974201603878912,"ALGER",NA,NA
1351924075459870720,"INDIA",NA,NA
1351915090547773440,"RI, USA",NA,NA
1351886585126678528,"EUROPE",NA,NA
1351875024831975424,"US - IL - ID",NA,NA
1351809080814415872,"FRANCE",NA,NA
1351807718420586496,"🌍",NA,NA
1351798041381056512,"CARRIBEAN,SELLING ICE CREAM",NA,NA
1351796734733807616,"🌍",NA,NA
1351764693015273472,".FI .FR .SE .UK .DE",NA,NA
1351761444799393792,".FI .FR .SE .UK .DE",NA,NA
1351658763292450816,"🌍",NA,NA
1351655680793522176,"EDALE, UK",NA,NA
1351651771685462016,"🌍",NA,NA
1351649390742671360,"🌍",NA,NA
1351596960264941568,"UP NORTH",NA,NA
1351581140654694400,"SFO///ALG///WWW///CLOUD///...",NA,NA
1351536171613040640,"HERE",NA,NA
1351536012296646656,"IRELAND",NA,NA
1351526843673964544,"NORTHERN CYPRUS",NA,NA
1351519294627196928,"BELGIUM",NA,NA
1351502293213057024,".FI .FR .SE .UK .DE",NA,NA
1351482304359759872,"✡ ISRAËL ✡",NA,NA
1351477000905625600,"SPAIN",NA,NA
1351474092843687936,"INDIA",NA,NA
1351411245778305024,"ARIZONA, USA",NA,NA
1351277700250529792,"USA 🇺🇸",NA,NA
1351258128504025088,"IRELAND",NA,NA
1351224447500496896,"AVI IS ME",NA,NA
1351208150507151360,"SPAIN",NA,NA
1351170240995086336,"MALAYSIA",NA,NA
1351025421937213440,"AVI IS ME",NA,NA
1350901061133987840,"GEORGIA, USA",NA,NA
1350893467120136192,"UK/UAE/INDIA",NA,NA
1350852526254469120,"US",NA,NA
1350851808797880320,"UK",NA,NA
1350825645119426560,"INDIA",NA,NA
1350820329921400832,"🇫🇷🇨🇳🇩🇪",NA,NA
1350749044239380480,"🇬🇧",NA,NA
1350719293747585024,"WIEN, ÖSTERREICH",NA,NA
1350697200326643712,"मोक्षनगरी, ग्रामीण भारत",NA,NA
1350672220914270208,"MOHALI, INDIA",NA,NA
1350661260224786432,"MALAYSIA",NA,NA
1350580320471556096,"NYC",NA,NA
1350575748248047616,"AVI IS ME",NA,NA
1350534812034068480,"BRITON",NA,NA
1350513013581729792,"INDIA",NA,NA
1350492223608037376,"MYANMAR",NA,NA
1350475506907373568,"SRI LANKA",NA,NA
1350461181971066880,"ᏕԾUϮ♅ ᕱꊰᏒᎥ꒝ᕱ",NA,NA
1350443813605527552,"BENGALURU SOUTH, INDIA",NA,NA
1350404612961038336,"127.0.0.0",NA,NA
1350398981080313856,"ICE AGE",NA,NA
1350396342338781184,"EUROPE",NA,NA
1350393734970695680,"IRELAND",NA,NA
1350376322632073216,"THIRD PLANET FROM THE SUN",NA,NA
1350344597730451456,"ÜT: -26.532499,28.376949",NA,NA
1350342353723133952,"INDIA",NA,NA
1350318507053834240,"INDIA",NA,NA
1350296665610186752,"IRELAND",NA,NA
1350288435387494400,"IRELAND",NA,NA
1350191329695985664,"IRELAND",NA,NA
1350189579576487936,"THE INTERNET",NA,NA
1350176611996479488,"127.0.0.0",NA,NA
1350164433608310784,"EUROPE",NA,NA
1350154363851972608,"THE PATH LAB",NA,NA
1350154271535333376,"CYPRUS",NA,NA
1350131148081549312,"JERSEY C.I.",NA,NA
1350124968076599296,"LAND",NA,NA
1350121713971953664,"MEATH, IRELAND",NA,NA
1350120969231327232,"MISSOURI, USA",NA,NA
1350117777735110656,"AUSTRIA",NA,NA
1350113336252366848,"ON THE GROUND",NA,NA
1350104234046476288,"FRANCE",NA,NA
1350103795796205568,"UP NORTH ;)",NA,NA
1350101677827878912,"DOĞU EXPRESI",NA,NA
1350092377621409792,"CT",NA,NA
1350083571676020736,"🇮🇪",NA,NA
1350076792145637376,"IRELAND",NA,NA
1350073318108520448,"HERE",NA,NA
1350068620433489920,"IRELAND",NA,NA
1350061989054312448,"BELGIQUE",NA,NA
1.350034099248e+18,"IRELAND",NA,NA
1350032691429707776,"GOA, INDIA",NA,NA
1350032134799577088,"IRELAND",NA,NA
1350014288694571008,"ISRAEL",NA,NA
1350001930886668288,"🇮🇪",NA,NA
1349990531196219392,"IN WITNESS PROTECTION",NA,NA
1349925811370008576,"WISCONSIN, USA",NA,NA
1349922589272023040,"MALAYSIA",NA,NA
1349909266761564160,".INT",NA,NA
1349905625199702016,"MALAYSIA",NA,NA
1349888051745615872,"HTX",NA,NA
1349885106945740800,"SCOTLAND",NA,NA
1349821420256296960,"IRELAND",NA,NA
1349806519861338112,"BELGIUM",NA,NA
1349765020914106368,"LOUISIANA, USA",NA,NA
1349762758385008640,"SUMMO SECRETUM",NA,NA
1.349744491822e+18,"N 38°42' 0'' / W 90°22' 0''",NA,NA
1349682279958851584,"LA LÍNEA",NA,NA
1349620188832927744,"MALAYSIA",NA,NA
1349603108658229248,"MALAYSIA",NA,NA
1349585451108036608,"WORLD",NA,NA
1349429240689778688,"AUSTRIA",NA,NA
1.349409710081e+18,"UNITED STATES",NA,NA
1349389172348493824,"🇭🇺|🇰🇼",NA,NA
1349314168290209792,"AL HILAL - C RING ROAD",NA,NA
1349257246119759872,"THE NORTH, UK",NA,NA
